user_id_str,username,bio,age
1195236790220668928,Sharpandtothep1,"#Standingforwomen
#IStandWithLesbians
#TeamTERF
#sexmatters
#IsupportLGB
No matter how bleak it looks, there is still hope for humanity.
💜🤍💚

🌎","15 Nov, 2019 @ 07:07:34.000"
868536067,goyo_truth,"TERFy  ✉️ Christian, Anti patriarchy, anti porn, anti sex-work. HELL/NO #TeamTERF  #KPSS","8 Oct, 2012 @ 20:15:26.000"
1870114746,prozacnation,#IStandWithJKRowling #TeamTERF woman = adult human female. pronouns TERF/TERFself,"16 Sep, 2013 @ 04:49:58.000"
2649429517,ElleOnPoint,#TeamTERF,"16 Jul, 2014 @ 00:04:39.000"
1438317945973837824,AtonalYo,"Atheist. Happily married. Pro-science. Pro-capitalist Democrat.
#IStandWithJKRowling #TeamTERF Bioessentialist because what else is there?","16 Sep, 2021 @ 02:45:37.000"
1405343673710170112,TERFCollective,A syndicate of GCs and RadFems working to end the international campaign of female erasure. We are #TeamTERF  facebook.com/groups/terfcol…,"17 Jun, 2021 @ 02:57:19.000"
552244870,BuketGulcinOzel,"Rekabet barbarlığın, dayanışma medeniyetin ürünü /
Bursa Barosu 
#teamterf","13 Apr, 2012 @ 00:06:47.000"
1238618213518323712,LaMadameX,I'm a firey latina. I'm loud and assertive and won't put up with crap. I don’t do pronouns. #TeamTERF #nothankyou #IStandWithJKRowling #DaveChappelleisRight,"14 Mar, 2020 @ 00:09:44.000"
1102773413569945600,Arlovebird94,"#LetWomenSpeak
#NotYourRightsToGive
#WomenWontWheesht
#SexNotGender
#AllWomenAreMySisters
#Feminist
#TeamTERF
#LGBTerf
#NoYouBeKind","5 Mar, 2019 @ 03:30:45.000"
1418656337962180608,BastetHorrus,"Trans god.
I only trans created two sexes so stop transplaining me.
Argue with me, I dare u.
I identify as your creator, don't u forget it.
I bless #teamterf","23 Jul, 2021 @ 20:37:01.000"
1083124584,Herhenhouse,defined by my sex all my life - me #NoThankYou .   #TERFs  #TeamTERF #WomenWontWeesht  #Feminism  #YoungGCWomenUnite  #LetWomenSpeak  #SaveWomensSports,"12 Jan, 2013 @ 14:28:33.000"
1271512135445516288,puffnstuff14,“I’ll retire to Bedlam.” (Scrooge) 🔥#TeamTERF🔥”The heart’s desire of the alienated man is to see vines sprouting through the masonry.” (Walker Percy),"12 Jun, 2020 @ 19:41:20.000"
430946189,Femnies,Mujer XX. Vulvoparlante. Fobiofóbica. Chupacabras Sediento. Gollum Asilvestrado. Monstruo Transfobia. Feminismo Vaginal. Vaginazi. cho/cho #TeamTerf #NoThankYou,"7 Dec, 2011 @ 18:58:19.000"
